,Torque
0,302
1,305
2,290
3,293
4,293
5,297
6,299
7,309
8,308
9,294
10,296
11,302
12,291
13,296
14,297
15,304
16,307
17,295
18,303
19,298
20,299
21,309
22,306
23,309
24,295
25,305
26,305
27,290
28,308
29,293
30,307
31,309
32,309
33,309
34,304
35,297
36,290
37,291
38,299
39,290
40,300
41,293
42,301
43,308
44,292
45,290
46,290
47,294
48,295
49,296
50,298
51,307
52,305
53,294
54,299
55,300
56,291
57,291
58,297
59,299
60,293
61,296
62,301
63,304
64,308
65,290
66,304
67,293
68,302
69,300
70,301
71,294
72,296
73,294
74,305
75,293
76,302
77,294
78,298
79,304
80,305
81,293
82,305
83,303
84,306
85,307
86,295
87,299
88,293
89,290
90,295
91,290
92,307
93,308
94,294
95,292
96,306
97,293
98,292
99,300
100,303
101,306
102,297
103,299
104,290
105,300
106,308
107,301
108,292
109,292
110,293
111,293
112,308
113,304
114,293
115,307
116,308
117,304
118,299
119,291
120,294
121,300
122,301
123,298
124,301
125,292
126,309
127,306
128,290
129,290
130,296
131,309
132,304
133,300
134,309
135,298
136,303
137,292
138,293
139,292
140,301
141,303
142,306
143,298
144,298
145,309
146,298
147,292
148,293
149,302
150,304
151,290
152,294
153,293
154,303
155,301
156,303
157,303
158,301
159,306
160,304
161,306
162,309
163,291
164,298
165,290
166,294
167,296
168,303
169,297
170,305
171,299
172,308
173,298
174,305
175,301
176,296
177,305
178,291
179,302
180,293
181,308
182,305
183,293
184,300
185,302
186,296
187,293
188,295
189,301
190,290
191,301
192,298
193,300
194,301
195,295
196,305
197,298
198,292
199,309
200,309
201,304
202,293
203,293
204,297
205,299
206,299
207,299
208,293
209,304
210,308
211,302
212,293
213,299
214,300
215,303
216,297
217,297
218,291
219,302
220,292
221,292
222,291
223,295
224,298
225,294
226,290
227,301
228,292
229,295
230,306
231,298
232,291
233,307
234,306
235,293
236,298
237,294
238,306
239,293
240,297
241,293
242,308
243,307
244,291
245,308
246,307
247,292
248,295
249,295
250,302
251,302
252,292
253,305
254,297
255,297
256,301
257,307
258,296
259,297
260,308
261,301
262,309
263,307
264,299
265,304
266,299
267,308
268,290
269,299
270,301
271,307
272,299
273,290
274,306
275,300
276,294
277,293
278,309
279,298
280,304
281,290
282,309
283,298
284,297
285,303
286,307
287,290
288,301
289,294
290,290
291,300
292,304
293,308
294,294
295,293
296,309
297,297
298,298
299,303
300,295
301,290
302,298
303,305
304,305
305,301
306,294
307,297
308,303
309,300
310,304
311,307
312,309
313,293
314,299
315,308
316,292
317,309
318,301
319,308
320,303
321,291
322,296
323,300
324,306
325,306
326,293
327,307
328,300
329,299
330,302
331,303
332,296
333,296
334,297
335,298
336,303
337,297
338,306
339,305
340,298
341,293
342,296
343,307
344,297
345,292
346,306
347,308
348,303
349,294
350,294
351,302
352,307
353,291
354,295
355,291
356,309
357,309
358,297
359,299
360,307
361,299
362,290
363,309
364,294
365,307
366,306
367,293
368,300
369,291
370,294
371,294
372,306
373,306
374,305
375,300
376,303
377,298
378,301
379,296
380,299
381,305
382,293
383,309
384,302
385,308
386,307
387,300
388,292
389,291
390,301
391,293
392,302
393,294
394,291
395,307
396,290
397,297
398,294
399,293
400,295
401,296
402,293
403,292
404,298
405,291
406,294
407,290
408,303
409,309
410,299
411,295
412,291
413,297
414,298
415,297
416,293
417,302
418,293
419,296
420,297
421,309
422,290
423,295
424,301
425,299
426,309
427,297
428,295
429,298
430,301
431,304
432,290
433,298
434,309
435,296
436,300
437,309
438,292
